Name,BitsAmount,AverageCRCTimeMS,AverageCRCTimeNS
1,1000000,1980,1980842830
2,1075000,2255,2254770809
3,1150000,2446,2446363990
4,1225000,2635,2635787980
5,1300000,2923,2923398450
6,1375000,3278,3278587770
7,1450000,3691,3691654430
8,1525000,4057,4057267710
9,1600000,4460,4460457489
10,1675000,4939,4939242699
11,1750000,5238,5238477410
12,1825000,5738,5738239830
13,1900000,6255,6255485819
14,1975000,7154,7155188990
15,2050000,8580,8580375399
16,2125000,9450,9450351200
17,2200000,10901,10901166040
18,2275000,11067,11067433370
19,2350000,11193,11193445699
20,2425000,11254,11254031680
21,2500000,11422,11422352240
22,2575000,11787,11787114550
23,2650000,12228,12228160359
24,2725000,13060,13060947599
25,2800000,13746,13746355280
26,2875000,14844,14844733540
27,2950000,15459,15459624100
28,3025000,16170,16170425539
29,3100000,17017,17017552339
30,3175000,18584,18584696669
31,3250000,18722,18722967560
32,3325000,19692,19692793880
33,3400000,20587,20587124610
34,3475000,21968,21968766569
35,3550000,23144,23144503690
36,3625000,24930,24930734130
37,3700000,26062,26062341180
38,3775000,171370,171370540830
