BytesAmount,AverageDualSumTimeMS,AverageDualSumTimeNS,AverageCRCTimeMS,AverageCRCTimeNS
100,0,15964,0,113596
3663,1,1836276,12,12937080
4059,1,1417708,11,10948808
4455,0,849820,5,5968360
4851,1,1197908,7,7407300
5247,1,1191628,7,7863340
5643,1,1299828,9,9187972
6039,1,1497400,9,9502036
6435,1,1719852,11,11525324
6831,2,1926536,12,12910812
7227,2,2173672,14,14384904
495,0,13636,0,161704
7623,2,2352908,15,15323592
8019,2,2784656,16,16927692
8415,2,2906796,19,19709056
8811,3,3354976,21,21288244
9207,3,3278264,22,22393600
9603,3,3590728,23,23032100
891,0,41888,0,203128
1287,0,76280,0,591620
1683,0,134516,1,1040824
2079,0,203336,1,1330560
2475,0,296232,2,2154236
2871,0,420752,2,2938196
3267,0,503376,3,3489408
